TIPO_CLIENTE,CD_SEXO,IDADE,PAGOU
V0,M,26,0
V0,M,39,1
V0,M,31,0
V0,F,45,0
V0,F,25,1
V0,M,35,0
V0,M,39,0
V0,F,38,1
V0,M,64,1
V0,M,31,0
V0,M,38,0
IN,M,37,0
V0,M,46,1
V0,M,,0
IN,M,47,1
VG,M,36,0
IN,M,36,1
IN,M,38,1
IN,M,33,0
V0,F,36,0
IN,M,31,1
V0,F,,0
V0,M,31,0
V0,M,,0
IN,M,35,1
IN,F,44,1
IN,F,69,0
V0,M,76,0
IN,,24,1
V0,F,39,0
V0,F,43,0
V0,M,29,0
V0,F,21,0
V0,F,44,0
V0,M,41,0
V0,I,51,1
V0,F,41,1
V0,F,50,0
IN,F,56,1
V0,F,37,0
V0,F,43,1
V0,M,31,0
V0,M,55,1
V0,F,40,0
IN,F,56,0
V0,F,22,1
VG,F,42,0
V0,M,30,1
V0,M,34,0
IN,M,50,0
IN,M,44,0
IN,M,46,0
IN,M,28,0
V0,F,34,0
V0,I,44,1
V0,M,34,0
IN,M,30,1
IN,M,52,1
V0,M,30,1
V0,M,42,0
V0,M,,0
V0,M,38,1
V0,M,,0
VG,F,59,1
V0,I,39,0
V0,M,30,1
V0,,,0
V0,F,41,1
V0,F,,0
V0,M,29,0
V0,M,,1
V0,F,,1
VG,,37,0
V0,F,38,1
IN,M,54,1
V0,,62,1
V0,F,20,1
V0,,35,0
IN,M,51,1
V0,M,61,0
V0,F,29,0
V0,M,,0
V0,M,35,1
V0,M,44,1
V0,F,37,1
V0,M,47,0
V0,M,25,0
IN,F,40,0
IN,M,35,1
IN,M,53,1
V0,M,35,1
IN,I,34,1
V0,F,46,0
VG,M,35,1
V0,F,63,0
VG,M,34,0
V0,M,53,0
V0,M,39,0
VG,F,,0
VG,F,35,0
V0,F,27,1
V0,M,36,1
V0,F,25,1
V0,M,42,0
IN,F,37,1
V0,,33,1
VG,,45,0
V0,M,37,1
V0,M,42,0
V0,M,,0
VG,M,,1
V0,M,35,0
IN,M,40,1
V0,F,31,1
V0,M,37,1
V0,F,59,0
V0,F,44,0
V0,M,33,1
IN,F,33,0
V0,M,34,1
V0,F,46,0
IN,F,16,1
V0,M,34,1
IN,M,38,0
V0,,19,0
V0,M,36,1
V0,,65,1
IN,F,34,1
VG,F,46,1
V0,M,47,1
V0,M,54,0
VG,M,,0
V0,F,23,1
IN,F,36,1
V0,M,,1
IN,M,49,1
VG,F,30,0
V0,M,34,1
V0,,40,0
V0,M,34,0
V0,F,43,0
V0,M,41,1
V0,,41,1
V0,F,37,0
V0,F,46,1
IN,F,34,1
V0,F,54,0
V0,F,40,0
V0,,19,0
V0,M,44,1
V0,M,27,0
IN,M,37,0
IN,M,54,0
V0,,56,1
V0,,35,0
IN,F,35,0
IN,M,53,0
IN,,45,1
V0,M,21,0
V0,M,25,1
V0,M,63,0
V0,F,28,0
V0,M,34,0
V0,M,30,1
V0,M,60,1
V0,M,,1
V0,F,40,1
V0,M,28,0
V0,F,24,0
V0,F,47,0
V0,M,42,1
V0,M,28,1
V0,M,,0
V0,F,,0
V0,F,,0
VG,F,,1
IN,F,31,0
IN,M,,1
V0,M,44,0
V0,I,,0
V0,F,35,0
VG,F,,1
V0,M,40,1
V0,F,33,0
V0,M,30,0
V0,M,27,0
IN,M,25,0
V0,M,21,0
V0,M,51,0
